Name_EN,Name_CN,LAT,LNG,Address_EN,Address_CN,Province_EN,Province_CN,City_EN,City_CN,Area_EN,Area_CN,Telephone,BuiltYear,BuiltMonth
Yanji Chaoyangchuan International Airport,延吉朝阳川国际机场,42.88967,129.46267,"No. 6666, Changbaixi Road, Yanji, Yanbian Korean Autonomous Prefecture, Jilin Province",吉林省延边朝鲜族自治州延吉市长白西路6666号,Jilin,吉林省,Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,Yanji,延吉市,,1985,8
Yantai Penglai International Airport,烟台蓬莱国际机场,37.66451,120.998216,"The intersection of Airport 2nd Road and Yingbin 8th Road, Chaoshui Town, Penglai City, Yantai City, Shandong Province",山东省烟台市蓬莱市潮水镇空港二路与迎宾八路交叉口,Shandong,山东省,Yantai,烟台市,Penglai,蓬莱市,(0535)6299999,2015,5
Yancheng Nanyang International Airport,盐城南洋国际机场,33.431524,120.214347,"Airport Road, Tinghu District, Yancheng City",盐城市亭湖区机场路,Jiangsu,江苏省,Yancheng,盐城市,Tinghu,亭湖区,(0515)88215020,2000,3
Yangzhou Taizhou International Airport,扬州泰州国际机场,32.567404,119.727842,"Airport Road, Dinggou Town, Jiangdu District, Yangzhou City",扬州市江都区丁沟镇机场路,Jiangsu,江苏省,Yangzhou,扬州市,Jiangdu,江都区,(0514)89999999,2012,5
Yushu Batang Airport,玉树巴塘机场,32.841454,97.042906,"National Highway 214, Batang Township, Yushu City, Yushu Tibetan Autonomous Prefecture",玉树藏族自治州玉树市巴塘乡214国道,Qinghai,青海省,Yushu Tibetans Autonomous Prefecture,玉树藏族自治州,Yushu,玉树市,(0976)8813743,2009,8
Yinchuan Hedong International Airport,银川河东国际机场,38.328317,106.400362,"Linhe Town, Lingwu City, Yinchuan City",银川市灵武市临河镇,Ningxia,宁夏回族自治区,Yinchuan,银川市,Lingwu,灵武市,,1997,9
Yichun Lindu Airport,伊春林都机场,47.757068,129.029567,Airport bus,机场巴士,Heilongjiang,黑龙江省,Yichun,伊春市,Mahe,马河区,,2009,8
Yongzhou Lingling Airport,永州零陵机场,26.340994,111.622869,"S217, Lanjiaoshan Town, Lengshuitan District, Yongzhou City, Hunan Province",湖南省永州市冷水滩区岚角山镇S217,Hunan,湖南省,Yongzhou,永州市,Lengshuitan,冷水滩区,(0746)8726069,2001,4
Nanniwan Airport,南泥湾机场,36.485398,109.47758,"Shangjiagou Nanniwan Airport, Baota District, Yan'an City, Shaanxi Province",陕西省延安市宝塔区尚家沟南泥湾机场,Shaanxi,陕西省,Yan'an,延安市,Baota,宝塔区,,2018,11
Zhengzhou Xinzheng International Airport,郑州新郑国际机场,34.532154,113.861221,Yingbin Avenue in Zhengzhou Airport Area,郑州市航空港区迎宾大道,Henan,河南省,Zhengzhou,郑州市,Xinzheng,新郑市,,1997,8
Zhangjiagang City Terminal of Jiangsu Shuofang International Airport,苏南硕放国际机场张家港城市候机楼,31.853107,120.570498,"Zhangjiagang Bus Terminal at the intersection of Huachang South Road and Dongyuan Road, Zhangjiagang City, Suzhou City, Jiangsu Province",江苏省苏州市张家港市华昌南路与东苑路交叉口张家港汽车客运站,Jiangsu,江苏省,Suzhou,苏州市,Zhangjiagang,张家港市,(0512)56901590,,
Zhangjiajie Lotus International Airport,张家界荷花国际机场,29.107223,110.454598,"Airport Road, Yongding District, Zhangjiajie City",张家界市永定区机场路,Hunan,湖南省,Zhangjiajie,张家界市,Yongding,永定区,(0744)8238417,1994,8
Upper Street Airport,上街机场,34.846084,113.286131,"Lantian Road, Shangjie, Zhengzhou City, Henan Province",河南省郑州市上街区蓝天路,Henan,河南省,Zhengzhou,郑州市,Shangjie,上街区,,,
Zhoushan Putuoshan Airport,舟山普陀山机场,29.938274,122.372317,"Zhujiajian Town, Putuo District, Zhoushan City",舟山市普陀区朱家尖镇,Zhejiang,浙江省,Zhoushan,舟山市,Putuo,普陀区,(0580)6260716,1997,8
Zhangye Ganzhou Airport,张掖甘州机场,38.811173,100.678418,"Airport Road, Ganzhou District, Zhangye City",张掖市甘州区机场路,Gansu,甘肃省,Zhangye,张掖市,Ganzhou,甘州区,(0936)8859066,2011,11
Zhaotong Airport,昭通机场,27.329438,103.764328,"Airport Road, Zhaoyang District, Zhaotong City",昭通市昭阳区机场路,Yunnan,云南省,Zhaotong,昭通市,Zhaoyang,昭阳区,(0870)2830039,1993,11
"China Power Construction (Zhuhai) General Airport Construction Co., Ltd",中电建(珠海)通用机场建设有限公司,22.337592,113.209778,"Lianzhou Town, Taylor Road, next to the Shenghua Shoe Factory",莲洲镇泰莱路晟骅鞋厂旁,Guangdong,广东省,Zhuhai,珠海市,Doumen,斗门区,,,
Zhanjiang Airport,湛江机场,21.218306,110.370101,"No. 24, Airport Road, Xiashan District, Zhanjiang City",湛江市霞山区机场路24号,Guangdong,广东省,Zhanjiang,湛江市,Xiashan,霞山区,(0759)3255002,1952,10
Zhongwei Shapotou Airport,中卫沙坡头机场,37.578942,105.165064,"Airport Avenue, Shapotou District, Zhongwei City",中卫市沙坡头区机场大道,Ningxia,宁夏回族自治区,Zhongwei,中卫市,Shapotou,沙坡头区,(0955)7073200,2008,12
Gongbei Bus Passenger Station,拱北汽车客运站,22.2246,113.562858,"No. 1 Lianhua Road, Xiangzhou District, Zhuhai City, Guangdong Province",广东省珠海市香洲区莲花路1号,Guangdong,广东省,Zhuhai,珠海市,Xiangzhou,香洲区,(0756)8885218,,
Zhangjiakou Airport,张家口机场,40.747613,114.959309,"No. 6 Airport Road, Qiaodong District, Zhangjiakou City, Hebei Province",河北省张家口市桥东区机场路6号,Hebei,河北省,Zhangjiakou,张家口市,Qiaodong,桥东区,,2013,6
Zhuhai Jinwan Airport,珠海金湾机场,22.014133,113.387209,"Jinhai East Road, Jinwan District, Zhuhai City",珠海市金湾区金海东路,Guangdong,广东省,Zhuhai,珠海市,Jinwan,金湾区,(0756)7771111,1995,6
Zunyi Xinzhou Airport,遵义新舟机场,27.81298,107.257137,"Yingbin Avenue, Xinzhou Town, Honghuagang District, Zunyi City",遵义市红花岗区新舟镇迎宾大道,Guizhou,贵州省,Zunyi,遵义市,Honghuagang,红花岗区,(0851)28677776,2012,8
Zalan is stationed at Genghis Khan Airport,扎兰屯成吉思汗机场,47.87931,122.779723,"East Desheng Village, Genghis Khan Town, Zhalantun City",扎兰屯市成吉思汗镇东德胜村,Neimenggu,内蒙古自治区,Zalantun,扎兰屯市,,,2016,12,
